t,x
1.461730865432716484e-05,-3.433257020976125262e-18
1.462731365682841442e-05,-4.270731642175793856e-18
1.463731865932966570e-05,-4.172163587123829976e-18
1.464732366183091698e-05,-3.563408219744680637e-18
1.465732866433216656e-05,-2.751153670643244067e-18
1.466733366683341784e-05,-1.934102366729271591e-18
1.467733866933466912e-05,-1.223769157110914062e-18
1.468734367183591870e-05,-6.679055914716846177e-19
1.469734867433716998e-05,-2.722387085665076234e-19
1.470735367683841956e-05,-1.831820486020720489e-20
1.471735867933967084e-05,1.232419344262468753e-19
1.472736368184092212e-05,1.839010706562640840e-19
1.473736868434217170e-05,1.919837014139806117e-19
1.474737368684342298e-05,1.702192519226896476e-19
1.475737868934467256e-05,1.351466953488096989e-19
1.476738369184592384e-05,9.763535649149875972e-20
1.477738869434717512e-05,6.395175886498006639e-20
1.478739369684842470e-05,3.698075680178241280e-20
1.479739869934967598e-05,1.736272518779086458e-20
1.480740370185092726e-05,4.426883283084170254e-21
1.481740870435217684e-05,-3.116966195002183398e-21
1.482741370685342812e-05,-6.715324760188690582e-21
1.483741870935467770e-05,-7.697437112498195187e-21
1.484742371185592898e-05,-7.143324935160999880e-21
1.485742871435718026e-05,-5.847329737300830077e-21
1.486743371685842984e-05,-4.338598893750554706e-21
1.487743871935968112e-05,-2.929505574264455343e-21
1.488744372186093070e-05,-1.772310208694926400e-21
1.489744872436218198e-05,-9.122334039945630406e-22
1.490745372686343326e-05,-3.310598478746756462e-22
1.491745872936468284e-05,2.054720112530834221e-23
1.492746373186593412e-05,2.013875120999530550e-22
1.493746873436718540e-05,2.668562231527820042e-22
1.494747373686843498e-05,2.626067404608968069e-22
1.495747873936968626e-05,2.225973974796777768e-22
1.496748374187093584e-05,1.697454922845235158e-22
1.497748874437218712e-05,1.178670979812180332e-22
1.498749374687343840e-05,7.401504198654457739e-23
1.499749874937468798e-05,4.068726019544386591e-23
1.500750375187593926e-05,1.764556028189664941e-23
1.501750875437718885e-05,3.264608916903196448e-24
1.502751375687844012e-05,-4.562315049760842847e-24
1.503751875937969140e-05,-7.881883005925426871e-24
1.504752376188094099e-05,-8.408724876372382554e-24
1.505752876438219226e-05,-7.433620401913769899e-24
1.506753376688344354e-05,-5.838731263654909175e-24
1.507753876938469312e-05,-4.165984822470281457e-24
1.508754377188594440e-05,-2.702755970018275778e-24
1.509754877438719399e-05,-1.563709794379051271e-24
1.510755377688844526e-05,-7.584582915564753145e-25
1.511755877938969654e-05,-2.418193100132920639e-25
1.512756378189094613e-05,5.236600485147625738e-26
1.513756878439219740e-05,1.908957608161942121e-25
1.514757378689344699e-05,2.308028489061161532e-25
1.515757878939469826e-05,2.155714176606732645e-25
1.516758379189594954e-05,1.752838470774329409e-25
1.517758879439719913e-05,1.287335775803766140e-25
1.518759379689845040e-05,8.620798490297486427e-26
1.519759879939970168e-05,5.218328000908043163e-26
1.520760380190095127e-05,2.756220992332497057e-26
1.521760880440220254e-05,1.133877519920944444e-26
1.522761380690345213e-05,1.719988828813681068e-27
1.523761880940470341e-05,-3.196451784012192394e-27
1.524762381190595468e-05,-5.070380585015781620e-27
1.525762881440720427e-05,-5.183697685804521609e-27
1.526763381690845385e-05,-4.433009079805233457e-27
1.527763881940970682e-05,-3.386573594843826872e-27
1.528764382191095641e-05,-2.363897747406841662e-27
1.529764882441220599e-05,-1.513853518507663561e-27
1.530765382691345896e-05,-8.796803973084665358e-28
1.531765882941470855e-05,-4.472424912068996585e-28
1.532766383191595813e-05,-1.774344722998916246e-28
1.533766883441721110e-05,-2.571063101998532570e-29
1.534767383691846069e-05,4.774493217534753271e-29
1.535767883941971027e-05,7.398869033412959758e-29
1.536768384192095985e-05,7.487625196141259136e-29
1.537768884442221282e-05,6.439462413055225933e-29
1.538769384692346241e-05,5.060731862605034037e-29
1.539769884942471199e-05,3.755761050579070599e-29
1.540770385192596496e-05,2.682694644525141897e-29
1.541770885442721455e-05,1.866444044885884450e-29
1.542771385692846413e-05,1.272192089986909871e-29
1.543771885942971710e-05,8.479370091638143562e-30
1.544772386193096669e-05,5.454776405640262684e-30
1.545772886443221627e-05,3.280324016174285639e-30
1.546773386693346924e-05,1.706678838315324254e-30
1.547773886943471883e-05,5.766283210460676219e-31
1.548774387193596841e-05,-2.077205374092814677e-31
1.549774887443721799e-05,-7.123608338090884651e-31
1.550775387693847097e-05,-9.895311442010163090e-31
1.551775887943972055e-05,-1.087069683965357861e-30
1.552776388194097013e-05,-1.051339267435956839e-30
1.553776888444222311e-05,-9.264284376467187101e-31
1.554777388694347269e-05,-7.518852108042888368e-31
1.555777888944472227e-05,-5.605050514243581068e-31
1.556778389194597524e-05,-3.769740584999963787e-31
1.557778889444722483e-05,-2.176064487049125071e-31
1.558779389694847441e-05,-9.105341390753177489e-32
1.559779889944972738e-05,3.198872219302648545e-34
