t f_inst
1.370685342671335785e-05 2.909312000000000000e+06
1.371685842921460743e-05 2.909312000000000000e+06
1.372686343171585871e-05 2.909312000000000000e+06
1.373686843421710999e-05 2.909312000000000000e+06
1.374687343671835957e-05 2.909312000000000000e+06
1.375687843921961085e-05 2.909312000000000000e+06
1.376688344172086213e-05 2.909312000000000000e+06
1.377688844422211171e-05 2.909312000000000000e+06
1.378689344672336299e-05 2.909312000000000000e+06
1.379689844922461257e-05 2.909312000000000000e+06
1.380690345172586385e-05 2.909312000000000000e+06
1.381690845422711513e-05 2.909312000000000000e+06
1.382691345672836471e-05 2.909312000000000000e+06
1.383691845922961599e-05 2.909312000000000000e+06
1.384692346173086557e-05 2.909312000000000000e+06
1.385692846423211685e-05 2.909312000000000000e+06
1.386693346673336813e-05 2.909312000000000000e+06
1.387693846923461771e-05 2.909312000000000000e+06
1.388694347173586899e-05 2.909312000000000000e+06
1.389694847423712027e-05 2.909312000000000000e+06
1.390695347673836985e-05 2.909312000000000000e+06
1.391695847923962113e-05 2.909312000000000000e+06
1.392696348174087071e-05 2.909312000000000000e+06
1.393696848424212199e-05 2.909312000000000000e+06
1.394697348674337327e-05 2.909312000000000000e+06
1.395697848924462285e-05 2.909312000000000000e+06
1.396698349174587413e-05 2.909312000000000000e+06
1.397698849424712371e-05 2.909312000000000000e+06
1.398699349674837499e-05 2.909312000000000000e+06
1.399699849924962627e-05 2.909312000000000000e+06
1.400700350175087585e-05 2.909312000000000000e+06
1.401700850425212713e-05 2.909312000000000000e+06
1.402701350675337841e-05 2.909312000000000000e+06
1.403701850925462799e-05 2.909312000000000000e+06
1.404702351175587927e-05 2.909312000000000000e+06
1.405702851425712885e-05 2.909312000000000000e+06
1.406703351675838013e-05 2.909312000000000000e+06
1.407703851925963141e-05 2.909312000000000000e+06
1.408704352176088099e-05 2.909312000000000000e+06
1.409704852426213227e-05 2.909312000000000000e+06
1.410705352676338186e-05 2.909312000000000000e+06
1.411705852926463313e-05 2.909312000000000000e+06
1.412706353176588441e-05 2.909312000000000000e+06
1.413706853426713400e-05 2.909312000000000000e+06
1.414707353676838527e-05 2.909312000000000000e+06
1.415707853926963655e-05 2.909312000000000000e+06
1.416708354177088613e-05 2.909312000000000000e+06
1.417708854427213741e-05 2.909312000000000000e+06
1.418709354677338700e-05 2.909312000000000000e+06
1.419709854927463827e-05 2.909312000000000000e+06
1.420710355177588955e-05 2.846971500000000000e+06
1.421710855427713914e-05 2.846971500000000000e+06
1.422711355677839041e-05 2.846971500000000000e+06
