Time(s), Amplitude
0.0134600, 0.9510565
0.0134800, 0.5877853
0.0135000, -0.0000000
0.0135200, -0.5877853
0.0135400, -0.9510565
0.0135600, -0.9510565
0.0135800, -0.5877853
0.0136000, 0.0000000
0.0136200, 0.5877853
0.0136400, 0.9510565
0.0136600, 0.9510565
0.0136800, 0.5877853
0.0137000, -0.0000000
0.0137200, -0.5877853
0.0137400, -0.9510565
0.0137600, -0.9510565
0.0137800, -0.5877853
0.0138000, 0.0000000
0.0138200, 0.5877853
0.0138400, 0.9510565
0.0138600, 0.9510565
0.0138800, 0.5877853
0.0139000, -0.0000000
0.0139200, -0.5877853
0.0139400, -0.9510565
0.0139600, -0.9510565
0.0139800, -0.5877853
0.0140000, 0.0000000
0.0140200, 0.5877853
0.0140400, 0.9510565
0.0140600, 0.9510565
0.0140800, 0.5877853
0.0141000, -0.0000000
0.0141200, -0.5877853
0.0141400, -0.9510565
0.0141600, -0.9510565
0.0141800, -0.5877853
0.0142000, 0.0000000
0.0142200, 0.5877853
0.0142400, 0.9510565
0.0142600, 0.9510565
0.0142800, 0.5877853
0.0143000, -0.0000000
0.0143200, -0.5877853
0.0143400, -0.9510565
0.0143600, -0.9510565
0.0143800, -0.5877853
0.0144000, 0.0000000
0.0144200, 0.5877853
0.0144400, 0.9510565
0.0144600, 0.9510565
0.0144800, 0.5877853
0.0145000, -0.0000000
0.0145200, -0.5877853
0.0145400, -0.9510565
0.0145600, -0.9510565
0.0145800, -0.5877853
0.0146000, 0.0000000
0.0146200, 0.5877853
0.0146400, 0.9510565
0.0146600, 0.9510565
0.0146800, 0.5877853
0.0147000, -0.0000000
0.0147200, -0.5877853
0.0147400, -0.9510565
0.0147600, -0.9510565
0.0147800, -0.5877853
0.0148000, -0.0000000
0.0148200, 0.5877853
0.0148400, 0.9510565
0.0148600, 0.9510565
0.0148800, 0.5877853
0.0149000, -0.0000000
0.0149200, -0.5877853
0.0149400, -0.9510565
0.0149600, -0.9510565
0.0149800, -0.5877853
0.0150000, 0.0000000
0.0150200, 0.5877853
0.0150400, 0.9510565
0.0150600, 0.9510565
0.0150800, 0.5877853
0.0151000, -0.0000000
0.0151200, -0.5877853
0.0151400, -0.9510565
0.0151600, -0.9510565
0.0151800, -0.5877853
0.0152000, 0.0000000
0.0152200, 0.5877853
0.0152400, 0.9510565
0.0152600, 0.9510565
0.0152800, 0.5877853
0.0153000, 0.0000000
0.0153200, -0.5877853
0.0153400, -0.9510565
0.0153600, -0.9510565
0.0153800, -0.5877853
0.0154000, -0.0000000
0.0154200, 0.5877853
0.0154400, 0.9510565
0.0154600, 0.9510565
